,year_release,song_name,artist_name,popularity,danceability,energy,duration_ms,valence,interval
12262,1964,Little Saint Nick - 1991 Remix,"['The Beach Boys', 'Mark Linett', 'Sweet', 'Larry Walsh']",48,0.602,0.553,118840,0.971,1960-1964
12274,1976,Requiem pour un fou,['Johnny Hallyday'],18,0.379,0.484,288106,0.383,1975-1979
12282,2012,It's Christmas Time Again,['Backstreet Boys'],37,0.53,0.706,203028,0.79,2010-2014
12297,1985,Take on Me,['a-ha'],84,0.573,0.902,225280,0.876,1985-1989
12298,2009,Party In The U.S.A.,['Miley Cyrus'],74,0.652,0.698,202066,0.47,2005-2009
12308,2011,Fade Into Darkness - Vocal Radio Mix,['Avicii'],7,0.556,0.885,198133,0.771,2010-2014
12342,2014,Stay With Me,['Sam Smith'],20,0.479,0.419,172723,0.186,2010-2014
12386,2006,Christmas In My Heart,['Sarah Connor'],31,0.648,0.517,288440,0.184,2005-2009
12400,2012,Face Down,['ARASHI'],50,0.733,0.943,235474,0.707,2010-2014
12468,2011,Blue Christmas,['Michael Bublé'],28,0.341,0.64,221706,0.351,2010-2014
12504,2011,Mistletoe,['Justin Bieber'],63,0.658,0.56,182946,0.854,2010-2014
12510,2010,"Hey, Soul Sister",['Train'],83,0.673,0.886,216773,0.795,2010-2014
12537,2012,Treasure,['Bruno Mars'],45,0.874,0.687,178560,0.92,2010-2014
12540,1975,Love Of My Life - Remastered 2011,['Queen'],75,0.329,0.179,217386,0.255,1975-1979
12551,2001,"Medley: Caroling, Caroling / The First Noel / Hark! The Herald Angels Sing / Silent Night",['Perry Como'],39,0.148,0.134,290760,0.107,2000-2004
12581,1945,It's Beginning To Look Like Christmas,['Bing Crosby'],45,0.473,0.212,166000,0.576,1945-1949
12594,2012,BURN IT DOWN,['Linkin Park'],74,0.585,0.972,230253,0.585,2010-2014
12595,1989,Runnin' Down A Dream,['Tom Petty'],44,0.453,0.871,262373,0.748,1985-1989
12663,1960,Have Yourself A Merry Little Christmas,['Ella Fitzgerald'],36,0.611,0.247,175840,0.484,1960-1964
12668,2013,V. 3005,['Childish Gambino'],5,0.472,0.457,234215,0.643,2010-2014
12684,2007,蕾(つぼみ),['KOBUKURO'],57,0.355,0.441,363853,0.283,2005-2009
12689,2013,Dynamit,"['Kollegah', 'Farid Bang']",0,0.421,0.928,162213,0.612,2010-2014
12691,2007,Year 3000,['Jonas Brothers'],0,0.657,0.854,201346,0.743,2005-2009
12743,2001,Can You Keep A Secret?,['Hikaru Utada'],0,0.719,0.896,308466,0.683,2000-2004
12756,2002,Marie - Master Mix,['Johnny Hallyday'],2,0.389,0.434,235500,0.213,2000-2004
12762,2012,I Will Wait,['Mumford & Sons'],13,0.477,0.776,276720,0.429,2010-2014
12781,2007,鱗(うろこ),['Motohiro Hata'],61,0.442,0.748,324053,0.493,2005-2009
12783,1963,It's the Most Wonderful Time of the Year,['Andy Williams'],55,0.24,0.598,151933,0.776,1960-1964
12797,2010,Wherever you are,['ONE OK ROCK'],68,0.379,0.69,295600,0.288,2010-2014
12800,1984,Last Christmas,['Wham!'],62,0.735,0.478,262960,0.947,1980-1984
12804,2013,たしかなこと,['ayaka'],44,0.567,0.598,334440,0.507,2010-2014
12816,2000,夏祭り,['Whiteberry'],52,0.513,0.775,220706,0.65,2000-2004
12826,2013,Snow In California,['Ariana Grande'],1,0.647,0.544,206373,0.472,2010-2014
12865,1994,What Child Is This?/The Holly And The Ivy,['Bing Crosby'],0,0.342,0.18,201333,0.215,1990-1994
12874,2003,Yuki No Hana,['Mika Nakashima'],45,0.498,0.292,338853,0.149,2000-2004
12882,2002,トモダチ,['Ketsumeishi'],51,0.699,0.638,370026,0.545,2000-2004
12886,2005,POP STAR,['Ken Hirai'],60,0.645,0.99,283346,0.841,2005-2009
12921,2004,Christmas Time (Don't Let the Bells End),['The Darkness'],36,0.411,0.918,219493,0.432,2000-2004
12938,2010,Just the Way You Are,['Bruno Mars'],80,0.637,0.843,220733,0.434,2010-2014
12984,2011,Kimino Shiranai Monogatari,['supercell'],48,0.432,0.907,339573,0.544,2010-2014
12985,2005,夏色,['Yuzu'],9,0.557,0.93,201933,0.794,2005-2009
13131,1994,Have Yourself A Merry Little Christmas,['Judy Garland'],33,0.182,0.14,162200,0.0941,1990-1994
13134,1969,I Want You Back,['The Jackson 5'],15,0.639,0.548,176333,0.887,1965-1969
13144,2014,No Role Modelz,['J. Cole'],82,0.696,0.521,292986,0.458,2010-2014
13150,2006,Christmas Time,['Backstreet Boys'],2,0.558,0.566,251266,0.495,2005-2009
13166,1998,Do You Hear What I Hear?,['Bing Crosby'],16,0.489,0.328,165960,0.405,1995-1999
13176,2008,そばにいるね,"['Thelma Aoyama', 'SoulJa']",14,0.668,0.732,299933,0.825,2005-2009
13177,1962,Silent Night,['Bing Crosby'],7,0.18,0.137,156893,0.211,1960-1964
13215,2010,Monster,['ARASHI'],3,0.656,0.939,267514,0.744,2010-2014
13217,1986,Livin' On A Prayer,['Bon Jovi'],23,0.534,0.887,249293,0.72,1985-1989
13237,1990,Lonesome Train,['Stan Kenton'],15,0.534,0.211,168040,0.193,1990-1994
13284,1998,Automatic,['Hikaru Utada'],51,0.716,0.879,312066,0.728,1995-1999
13298,1994,Stay Another Day,['East 17'],59,0.524,0.489,267133,0.443,1990-1994
13304,1980,Another One Bites The Dust - Remastered 2011,['Queen'],82,0.933,0.528,214653,0.754,1980-1984
13348,1978,Don't Stop Me Now - 2011 Mix,['Queen'],83,0.559,0.868,209413,0.609,1975-1979
13379,1996,No Diggity,"['Blackstreet', 'Dr. Dre', 'Queen Pen']",77,0.868,0.646,304600,0.67,1995-1999
13385,2005,Wish,['ARASHI'],51,0.659,0.764,267077,0.709,2005-2009
13410,1968,Winter Wonderland,['Tony Bennett'],46,0.452,0.366,133866,0.629,1965-1969
13413,1987,Christmas (Baby Please Come Home),['U2'],35,0.281,0.802,139760,0.5,1985-1989
13446,1984,The Power Of Love,['Frankie Goes To Hollywood'],63,0.46,0.162,332506,0.102,1980-1984
13463,1968,(You Make Me Feel Like) A Natural Woman,['Aretha Franklin'],70,0.65,0.323,166812,0.276,1965-1969
13476,1983,Sweet Dreams (Are Made of This) - Remastered,['Eurythmics'],81,0.692,0.711,216933,0.875,1980-1984
13488,2014,Santa Tell Me,['Ariana Grande'],64,0.525,0.621,204093,0.591,2010-2014
13497,2013,ミュージック,['Sakanaction'],52,0.739,0.641,322986,0.681,2010-2014
13516,2013,Snow In California,['Ariana Grande'],46,0.631,0.533,206373,0.428,2010-2014
13529,2009,Sweet Disposition,['The Temper Trap'],65,0.531,0.821,230800,0.34,2005-2009
13534,1942,Let's Start The New Year Off Right,['Bing Crosby'],0,0.341,0.148,153946,0.416,1940-1944
13556,1987,In der Weihnachtsbäckerei,['Rolf Zuckowski'],43,0.817,0.451,172906,0.917,1985-1989
13561,1994,Zombie,['The Cranberries'],80,0.307,0.635,306426,0.305,1990-1994
13573,2014,Take Me To Church,['Hozier'],12,0.566,0.664,241688,0.437,2010-2014
13627,2006,さくら - 独唱,['Naotaro Moriyama'],56,0.589,0.181,255160,0.349,2005-2009
13636,2000,if...,['DA PUMP'],54,0.627,0.903,218800,0.6,2000-2004
13649,2014,繋いだ手から,['back number'],54,0.394,0.797,282706,0.655,2010-2014
13697,2012,オレンジ,['GReeeeN'],52,0.491,0.95,226200,0.486,2010-2014
13711,1998,Winter Wonderland,['Bing Crosby'],16,0.648,0.228,144826,0.503,1995-1999
13743,2009,Little Christmas Tree,['Michael Jackson'],0,0.48,0.531,217840,0.276,2005-2009
13756,2013,夜の踊り子,['Sakanaction'],41,0.559,0.78,302920,0.481,2010-2014
13805,1959,Let It Snow! Let It Snow! Let It Snow!,['Dean Martin'],53,0.451,0.24,117146,0.701,1955-1959
13826,1983,Every Breath You Take,['The Police'],84,0.82,0.452,253920,0.74,1980-1984
13846,2009,Deck the Halls,['R.E.M.'],0,0.381,0.307,73706,0.25,2005-2009
13861,2014,Guts!,['ARASHI'],54,0.615,0.947,294290,0.892,2010-2014
